!SIL	sil
<UNK>	sil
កំភរ	k ɑ m pʰ ɔː
កំភូត	k ɑ m pʰ uː t
កំភួនជើង	k ɑ m pʰ uɜ n c ɘː ŋ
កំភួនដៃ	k ɑ m pʰ uɜ n d ai
កំភួន	k ɑ m pʰ uɜ n
កំភេម	k ɑ m pʰ eː m
កំភែល	k ɑ m pʰ aɛ l
កំភ្លាញ	k ɑ m pʰ l iɜ ɲ
កំភ្លឹង	k ɑ m pʰ l ɘ ŋ
កំភ្លៀង	k ɑ m pʰ l iɜ ŋ
កំរង	k ɑ m r ɑː ŋ
កំរាលព្រំ	k ɑ m r aː l p r ʋ m
កំរាល	k ɑ m r aː l
កំរាស់	k ɑ m r a h
កំរិត	k ɑ m r e t
កំរើក	k ɑ m r aɜ k
កំរើប	k ɑ m r aɜ p
កំរៀង	k ɑ m r iɜ ŋ
កំរៃ	k ɑ m r ai
កំរោល	k ɑ m r aɔ l
កំរ	k ɑ m r ɑː
កំលាំងជំនាញ	k ɑ m l a ŋ c ʋ m n iɜ ɲ
កំលាំង	k ɑ m l a ŋ
កំលុងពេល	k ɑ m l o ŋ p eː l
កំលុង	k ɑ m l o ŋ
កំលោះ	k ɑ m l ɑ h
កំសត់	k ɑ m s ɑ t
កំសាកញី	k ɑ m s aː k ɲ iː
កំសាក	k ɑ m s aː k
កំសាន្ដ	k ɑ m s aː n
កំសាន្ត	k ɑ m s aː n
កំសុល	k ɑ m s o l
កំសួល	k ɑ m s uɜ l
កំសៀវ	k ɑ m s iɜ β̞
កំសោយ	k ɑ m s aɔ j
កំហល់	k ɑ m h ɑ l
កំហាក	k ɑ m h aː k
កំហាត់	k ɑ m h a t
កំហាត	k ɑ m h aː t
កំហាន	k ɑ m h aː n
កំហាប់	k ɑ m h aː p
កំហិត	k ɑ m h e t
កំហិល	k ɑ m h e l
កំហឹងវណ្ណៈ	k ɑ m h ɜ ŋ β̞ a n n a ʔ
កំហឹង	k ɑ m h ɜ ŋ
កំហុល	k ɑ m h o l
កំហុស	k ɑ m h o h
កំហូច	k ɑ m h oʊ c
កំហើច	k ɑ m h aɜ c
កំហោក	k ɑ m h aɔ k
កំឡុងពេលវេលា	k ɑ m l o ŋ p eː l β̞ eː l iɜ
កំឡុង	k ɑ m l o ŋ
កំឡោះ	k ɑ m l ɑ h
កំអួត	k ɑ m ʔ uɜ t
កំអែល	k ɑ m ʔ aɛ l
កំ	k ɑ m
កៈ	k a ʔ
ក៍	ɔː
ក៏ដូចជា	k ɑː d oʊ c c iɜ
ក៏ដោយ	k ɑː d aɔ j
ក៏ត្រូវ	k ɑː t r oʊ β̞
ក៏ពិតមែនតែ	k ɑː p i t m ɛː n t aɛ
ក៏មាន	k ɑː m iɜ n
ក៏ស្រាប់តែ	k ɑː s r a p t aɛ
ក៏ហីទៅ	k ɑː h ɜi t ɘɨ
ក៏	k ɑː
ក័ត្តា	k a t t aː
ក័ន្ត	k oă n
ក័លក័ត្តា	k oă l k a t t aː
ក័ល	k oă l
ក្ងក់	k ŋ ɑ ʔ
ក្ងង់	k ŋ ɑ ŋ
ក្ងាន	k ŋ aː n
ក្ងិងក្ងង់	k ŋ e ŋ k ŋ ɑ ŋ
ក្ងិង	k ŋ e ŋ
ក្ងិចក្ងក់	k ŋ e c k ŋ ɑ ʔ
ក្ងិច	k ŋ e c
ក្ងិត	k ŋ e t
ក្ងុង	k ŋ o ŋ
ក្ងុល	k ŋ o l
ក្ងុះ	k ŋ o h
ក្ងួរ	k ŋ uɜ
ក្ងៀង	k ŋ iɜ ŋ
ក្ងេះ	k ŋ ɛe h
ក្ងោក	k ŋ aɔ k
ក្ងោន	k ŋ aɔ n
ក្ង	k ŋ ɑː
ក្ចុះ	k c o h
ក្ឌាំង	k d a ŋ
ក្ឌឺង	k d ɨː ŋ
ក្ឌុង	k d ʋ ŋ
ក្ឌុំ	k d ʋ m
ក្ទម្ពទេស	k t ʋ m t eː h
ក្ទម្ព	k t ʋ m
ក្បង់	kʰ b ɑ ŋ
ក្បត់	kʰ b ɑ t
ក្បាក់	kʰ b a ʔ
ក្បាច់គុន	kʰ b a c k ʋ n
ក្បាច់បួរ	kʰ b a c b uɜ
ក្បាច់	kʰ b a c
ក្បាន	kʰ b aː n
ក្បាប	kʰ b aː p
ក្បាយ	kʰ b aː j
ក្បាលក្រពើ	kʰ b aː l k r ɑː p ɘː
ក្បាលចាមឿង	kʰ b aː l c aː m ɨɜ ŋ
ក្បាលផ្ទុះ	kʰ b aː l pʰ t ʋ h
ក្បាលមឿង	kʰ b aː l m ɨɜ ŋ
ក្បាលរទេះភ្លើង	kʰ b aː l r ɔː t eː h pʰ l ɘː ŋ
ក្បាលរឹង	kʰ b aː l r ɘ ŋ
ក្បាលសសរ	kʰ b aː l s ɑː s ɑː
ក្បាលឡូញ	kʰ b aː l l oʊ ɲ
ក្បាល់	kʰ b a l
ក្បាល	kʰ b aː l
ក្បាំងណា	kʰ b a ŋ n aː
ក្បាំង	kʰ b a ŋ
ក្បិតក្បៀត	kʰ b e t kʰ b iɜ t
ក្បិត	kʰ b e t
ក្បិន	kʰ b e n
ក្បិប	kʰ b e p
ក្បិល	kʰ b e l
ក្បឺត	kʰ b ɜɘ t
ក្បុង	kʰ b o ŋ
ក្បុស	kʰ b o h
ក្បូន	kʰ b oʊ n
ក្បូរក្បាច់	kʰ b oʊ kʰ b a c
ក្បូរ	kʰ b oʊ
ក្បួនតម្រា	kʰ b uɜ n d ɑ m r aː
ក្បួន	kʰ b uɜ n
ក្បឿង	kʰ b ɨɜ ŋ
ក្បៀត	kʰ b iɜ t
ក្បៀប	kʰ b iɜ p
ក្បៀស	kʰ b iɜ h
ក្បេត	kʰ b ɛe t
ក្បែរជាយ	kʰ b aɛ c iɜ j
ក្បែរ	kʰ b aɛ
ក្បោះក្បាយ	kʰ b ɑ h kʰ b aː j
ក្បោះ	kʰ b ɑ h
ក្បំ	kʰ b ɑ m
ក្ប័ត្រ	kʰ b a t
ក្យា	kʰ j aː
ក្យូកូ	kʰ j oʊ k oʊ
ក្យូតុ	kʰ j oʊ t o
ក្យូតូ	kʰ j oʊ t oʊ
ក្យូយ៉ា	kʰ j oʊ j aː
ក្យូសេរ៉ា	kʰ j oʊ s ɛe r aː
ក្រងួរ	k r ɑː ŋ uɜ
ក្រង៉ិកក្រង៉ក់	k r ɑː ŋ e k k r ɑː ŋ ɑ ʔ
ក្រង់	k r ɑ ŋ
ក្រង	k r ɑː ŋ
ក្រចាប់	k r ɑː c a p
ក្រចាស	k r ɑː c a h
ក្រចេះ	k r ɑː c ɛe h
ក្រចេ	k r ɑː c ɛe
ក្រចៅ	k r ɑː c aɨ
ក្រជាំ	k r ɑː c oă m
ក្រជឹបក្រជួច	k r ɑː c ɘ p k r ɑː c uɜ c
ក្រជឹប	k r ɑː c ɘ p
ក្រជួច	k r ɑː c uɜ c
ក្រញង់	k r ɑː ɲ ɑ ŋ
ក្រញរ	k r ɑː ɲ ɑː
ក្រញាង	k r ɑː ɲ aː ŋ
ក្រញាញ់	k r ɑː ɲ a ɲ
ក្រញាស	k r ɑː ɲ a h
ក្រញាំង	k r ɑː ɲ a ŋ
ក្រញាំ	k r ɑː ɲ a m
ក្រញិក	k r ɑː ɲ e k
ក្រញិច	k r ɑː ɲ e c
ក្រញិញ	k r ɑː ɲ e ɲ
ក្រញី	k r ɑː ɲ ɜi
ក្រញឹង	k r ɑː ɲ ɜ ŋ
ក្រញឹប	k r ɑː ɲ ɜ p
ក្រញឹម	k r ɑː ɲ ɜ m
ក្រញុច	k r ɑː ɲ o c
ក្រញុញ	k r ɑː ɲ o ɲ
ក្រញុល	k r ɑː ɲ o l
ក្រញុះ	k r ɑː ɲ o h
ក្រញូង	k r ɑː ɲ uː ŋ
ក្រញូវ	k r ɑː ɲ oʊ β̞
ក្រញូស	k r ɑː ɲ oʊ h
ក្រញើត	k r ɑː ɲ aɜ t
ក្រញេស	k r ɑː ɲ ɛe h
ក្រញោន	k r ɑː ɲ aɔ n
ក្រញៅ	k r ɑː ɲ aɨ
ក្រញ៉ម	k r ɑː ɲ ɑː m
ក្រញ៉ាំ	k r ɑː ɲ a m
ក្រញ៉ុល	k r ɑː ɲ o l
ក្រដាសតារាង	k r ɑː d aː h t aː r aː ŋ
ក្រដាសពុម្ព	k r ɑː d aː h p ʋ m
ក្រដាសរឹង	k r ɑː d aː h r ɘ ŋ
ក្រដាសរ៉ាម	k r ɑː d aː h r aː m
ក្រដាស់	k r ɑː d a h
ក្រដាស	k r ɑː d aː h
ក្រដោ	k r ɑː d aɔ
ក្រណាត់សំពត់	k r ɑː n a t s ɑ m p ʋ t
ក្រណាត់	k r ɑː n a t
ក្រណាន់	k r ɑː n a n
ក្រតើន	k r ɑː t aɜ n
ក្រត	k r ɑː t
ក្រទម	k r ɑː t ʋ m
ក្រទាំង	k r ɑː t ɛă ŋ
ក្រទា	k r ɑː t iɜ
ក្រទី	k r ɑː t iː
ក្រទឺត	k r ɑː t ɨː t
ក្រទែ	k r ɑː t ɛː
ក្រនៀវកែវ	k r ɑː n iɜ β̞ k aɛ β̞
ក្រនៀវ	k r ɑː n iɜ β̞
ក្របខណ្ឌ	k r ɑː p kʰ a n
ក្របខ័ណ្ឌ	k r ɑː p kʰ a n
ក្របី	k r ɑː b ɜi
ក្របួច	k r ɑː b uɜ c
ក្របើគិតណាស់	k r ɑː b aɜ k i t n a h
ក្របែល	k r ɑː b aɛ l
ក្របៅ	k r ɑː b aɨ
ក្រប៉ែត	k r ɑː p aɛ t
ក្រប	k r ɑː p
ក្រពង	k r ɑː p ɔː ŋ
ក្រពត	k r ɑː p ɔː t
ក្រពាត់ជ្រូក	k r ɑː p oă t c r uː k
ក្រពាត់ដៃ	k r ɑː p oă t d ai
ក្រពាត់	k r ɑː p oă t
ក្រពាយ	k r ɑː p iɜ j
ក្រពា	k r ɑː p iɜ
ក្រពឹត	k r ɑː p ɘ t
ក្រពុលបាយ	k r ɑː p ʋ l b aː j
ក្រពុល	k r ɑː p ʋ l
ក្រពុំ	k r ɑː p ʋ m
ក្រពើ	k r ɑː p ɘː
ក្រពេញរាជ	k r ɑː p i ɲ r iɜ c
ក្រពេញ	k r ɑː p i ɲ
ក្រពេន	k r ɑː p eː n
ក្រពះតាន់	k r ɑː p ɛă h t a n
ក្រពះឫស្សី	k r ɑː p ɛă h r ɘ h s ɜi
ក្រពះ	k r ɑː p ɛă h
ក្រមការ	k r ɑ m k aː
ក្រមប់	k r ɑː m ɑ p
ក្រមម	k r ɑː m ɑː m
ក្រមរ	k r ɑː m ɑː
ក្រមាចម៉ាច	k r ɑː m aː c m aː c
ក្រមាច់	k r ɑː m a c
ក្រមាច	k r ɑː m aː c
ក្រមានណាស់	k r ɑː m iɜ n n a h
ក្រមាល់	k r ɑː m a l
ក្រមាំ	k r ɑː m a m
ក្រមា	k r ɑː m aː
ក្រមិចក្រមើម	k r ɑː m e c k r ɑː m aɜ m
ក្រមិច	k r ɑː m e c
ក្រមី	k r ɑː m ɜi
ក្រមឹម	k r ɑː m ɜ m
ក្រមឺម	k r ɑː m ɜɘ m
ក្រមុប	k r ɑː m o p
ក្រមុំហូតថ្នាក់	k r ɑː m o m h oʊ t tʰ n a ʔ
ក្រមុំ	k r ɑː m o m
ក្រមួនខ្យង	k r ɑː m uɜ n kʰ j ɑː ŋ
ក្រមួន	k r ɑː m uɜ n
ក្រមើម	k r ɑː m aɜ m
ក្រមៅ	k r ɑː m aɨ
ក្រម៉ា	k r ɑː m aː
ក្រម៉ៅ	k r ɑː m aɨ
ក្រម	k r ɑ m
ក្រយតំណាំង	k r ɑː j d ɑ m n a ŋ
ក្រយាសម្ពាន់	k r ɑː j aː s ɑ m p oă n
ក្រយាស្ងោយ	k r ɑː j aː s ŋ aɔ j
ក្រយា	k r ɑː j aː
ក្រយៅដៃ	k r ɑː j aɨ d ai
ក្រយៅ	k r ɑː j aɨ
ក្រយ	k r ɑː j
ក្រលាបញ្ជី	k r ɑː l aː b a ɲ c iː
ក្រលា	k r ɑː l aː
ក្រលៀន	k r ɑː l iɜ n
ក្រវក់	k r ɑː β̞ ɑ ʔ
ក្រវង់	k r ɑː β̞ ɑ ŋ
ក្រវល់ក្រវាយ	k r ɑː β̞ ɑ l k r ɑː β̞ aː j
ក្រវាញជ្រូក	k r ɑː β̞ aː ɲ c r uː k
ក្រវាញ	k r ɑː β̞ aː ɲ
ក្រវាត់ភ្លើង	k r ɑː β̞ a t pʰ l ɘː ŋ
ក្រវាត់	k r ɑː β̞ a t
ក្រវាន់	k r ɑː β̞ a n
ក្រវាម	k r ɑː β̞ aː m
ក្រវិកក្រវក់	k r ɑː β̞ e k k r ɑː β̞ ɑ ʔ
ក្រវិក	k r ɑː β̞ e k
ក្រវិចក្រវៀន	k r ɑː β̞ e c k r ɑː β̞ iɜ n
ក្រវិច	k r ɑː β̞ e c
ក្រវិន	k r ɑː β̞ e n
ក្រវិលដៃ	k r ɑː β̞ e l d ai
ក្រវិល	k r ɑː β̞ e l
ក្រវី	k r ɑː β̞ iː
ក្រវឹម	k r ɑː β̞ ɜ m
ក្រវើនក្រតើន	k r ɑː β̞ aɜ n k r ɑː t aɜ n
ក្រវើន	k r ɑː β̞ aɜ n
ក្រវៀចក្រវៀន	k r ɑː β̞ iɜ c k r ɑː β̞ iɜ n
ក្រវៀច	k r ɑː β̞ iɜ c
ក្រវៀន	k r ɑː β̞ iɜ n
ក្រវេច	k r ɑː β̞ e c
ក្រវេមក្រវាម	k r ɑː β̞ ɛe m k r ɑː β̞ aː m
ក្រវេមក្រវ៉ាម	k r ɑː β̞ ɛe m k r ɑː β̞ aː m
ក្រវែល	k r ɑː β̞ aɛ l
ក្រវ៉ាក់ក	k r ɑː β̞ a ʔ k ɑː
ក្រវ៉ាតក	k r ɑː β̞ aː t k ɑː
ក្រវ៉ាត់កតម្លៃ	k r ɑː β̞ a t k ɑː d ɑ m l ai
ក្រវ៉ាត់ករ	k r ɑː β̞ a t k ɑː
ក្រវ៉ាត់ក	k r ɑː β̞ a t k
ក្រវ៉ាត់	k r ɑː β̞ a t
ក្រវ៉ា	k r ɑː β̞ aː
ក្រសារ	k r ɑː s aː
ក្រសាល	k r ɑː s aː l
ក្រសាវ	k r ɑː s aː β̞
ក្រសាំងទាប	k r ɑː s a ŋ t iɜ p
ក្រសាំងទំហំ	k r ɑː s a ŋ t ʋ m h ʋ m
ក្រសាំង	k r ɑː s a ŋ
ក្រសួងការពារជាតិ	k r ɑː s uɜ ŋ k aː p iɜ c iɜ t
ក្រសួងតុលាការ	k r ɑː s uɜ ŋ t o l aː k aː
ក្រសួងទេសចរណ៍	k r ɑː s uɜ ŋ t eː s a ʔ c ɑː
ក្រសួងមានសមត្ថកិច្ច	k r ɑː s uɜ ŋ m iɜ n s a ʔ m a t tʰ a ʔ k e c
ក្រសួង	k r ɑː s uɜ ŋ
ក្រសៀន	k r ɑː s iɜ n
ក្រសែ	k r ɑː s aɛ
ក្រសោប	k r ɑː s aɔ p
ក្រស័យ	k r ɑː s ai
ក្រស្នា	k r ɑː s n aː
ក្រហត	k r ɑː h t
ក្រហមព្រឿង	k r ɑː h ɑː m p r ɨɜ ŋ
ក្រហមរងាល	k r ɑː h ɑː m r ɔː ŋ iɜ l
ក្រហម	k r ɑː h ɑː m
ក្រហល់ក្រហាយ	k r ɑː h ɑ l k r ɑː h aː j
ក្រហល់	k r ɑː h ɑ l
ក្រហាយ	k r ɑː h aː j
ក្រហូង	k r ɑː h oʊ ŋ
ក្រហួង	k r ɑː h uɜ ŋ
ក្រហួច	k r ɑː h uɜ c
ក្រហេត	k r ɑː h ɛe t
ក្រហែត	k r ɑː h aɛ t
ក្រឡង់	k r ɑː l ɑ ŋ
ក្រឡាច់	k r ɑː l a c
ក្រឡាញ់	k r ɑː l a ɲ
ក្រឡាញ	k r ɑː l aː ɲ
ក្រឡាដុងដោរ	k r ɑː l aː d o ŋ d aɔ
ក្រឡាតបៈ	k r ɑː l aː t a ʔ p a ʔ
ក្រឡាត	k r ɑː l aː t
ក្រឡាន	k r ɑː l aː n
ក្រឡាបញ្ជី	k r ɑː l aː b a ɲ c iː
ក្រឡាប់	k r ɑː l a p
ក្រឡាពាស	k r ɑː l aː p iɜ h
ក្រឡាភ្លើង	k r ɑː l aː pʰ l ɘː ŋ
ក្រឡាស់	k r ɑː l a h
ក្រឡាហោម	k r ɑː l aː h aɔ m
ក្រឡា	k r ɑː l aː
ក្រឡិច	k r ɑː l e c
ក្រឡិត	k r ɑː l e t
ក្រឡឹង	k r ɑː l ɜ ŋ
ក្រឡឹបក្រឡាប់	k r ɑː l ɜ p k r ɑː l a p
ក្រឡឹប	k r ɑː l ɜ p
ក្រឡឹម	k r ɑː l ɜ m
ក្រឡឺម	k r ɑː l ɜɘ m
ក្រឡុង	k r ɑː l o ŋ
ក្រឡុច	k r ɑː l o c
ក្រឡុញ	k r ɑː l o ɲ
ក្រឡុប	k r ɑː l o p
ក្រឡូម	k r ɑː l oʊ m
ក្រឡើត	k r ɑː l aɜ t
ក្រឡេចក្រឡុច	k r ɑː l ɛe c k r ɑː l o c
ក្រឡេច	k r ɑː l ɛe c
ក្រឡេមក្រឡឺម	k r ɑː l ɛe m k r ɑː l ɜɘ m
ក្រឡែត	k r ɑː l aɛ t
ក្រឡែ	k r ɑː l aɛ
ក្រឡោជី	k r ɑː l aɔ c iː
ក្រឡោត	k r ɑː l aɔ t
ក្រឡោ	k r ɑː l aɔ
ក្រឡៅ	k r ɑː l aɨ
ក្រឡះ	k r ɑː l a h
ក្រឡ	k r ɑː l ɑː
ក្រអាញ	k r ɑː ʔ aː ɲ
ក្រអឹមក្រអៀម	k r ɑː ʔ ɜ m k r ɑː ʔ iɜ m
ក្រអឹម	k r ɑː ʔ ɜ m
ក្រអឺតក្រទម	k r ɑː ʔ ɜɘ t k r ɑː t ɔː m
ក្រអឺតក្រអោង	k r ɑː ʔ ɜɘ t k r ɑː ʔ aɔ ŋ
ក្រអឺត	k r ɑː ʔ ɜɘ t
ក្រអុច	k r ɑː ʔ o c
ក្រអុលអុល	k r ɑː ʔ o l ʔ o l
ក្រអុល	k r ɑː ʔ o l
ក្រអូប	k r ɑː ʔ oʊ p
ក្រអូមមាត់	k r ɑː ʔ oʊ m m oă t
ក្រអូម	k r ɑː ʔ oʊ m
ក្រអួន	k r ɑː ʔ uɜ n
ក្រអៀម	k r ɑː ʔ iɜ m
ក្រអែប	k r ɑː ʔ aɛ p
ក្រអែស	k r ɑː ʔ aɛ h
ក្រអោង	k r ɑː ʔ aɔ ŋ
ក្រអៅឈូក	k r ɑː ʔ aɨ cʰ uː k
ក្រអៅ	k r ɑː ʔ aɨ
ក្រឱង	k r ɑː ʔ aɔ ŋ
ក្រឳ	k r ɑː ʔ aɨ
ក្រាក់អាច់	k r a ʔ ʔ a c
ក្រាក់	k r a ʔ
ក្រាក	k r aː k
ក្រាងក្រឳ	k r aː ŋ k r ɑː ʔ aɨ
ក្រាង	k r aː ŋ
ក្រាញ់	k r a ɲ
ក្រាញ	k r aː ɲ
ក្រានីត	k r aː n iː t
ក្រាន	k r aː n
ក្រាបទូលថា	k r aː p t uː l tʰ aː
ក្រាបបង្គំទូល	k r aː p b ɑ ŋ k ʋ m t uː l
ក្រាបបង្គំលា	k r aː p b ɑ ŋ k ʋ m l iɜ
ក្រាបបង្គំ	k r aː p b ɑ ŋ k ʋ m
ក្រាប់	k r a p
ក្រាប	k r aː p
ក្រាភិច	k r aː pʰ i c
ក្រាមទាល់	k r aː m t oă l
ក្រាមរមាស	k r aː m r ɔː m iɜ h
ក្រាម	k r aː m
ក្រាយ	k r aː j
ក្រាល់	k r a l
ក្រាល	k r aː l
ក្រាស់ក្រួន	k r a h k r uɜ n
ក្រាស់ក្រែល	k r a h k r aɛ l
ក្រាស់ឃ្មឹក	k r a h kʰ m ɘ k
ក្រាស់	k r a h
ក្រាស	k r aː h
ក្រាំងលាវ	k r a ŋ l iɜ β̞
ក្រាំង	k r a ŋ
ក្រាំពូ	k r a m p uː
ក្រា	k r aː
ក្រិក	k r e c
ក្រិច	k r e c
ក្រិត	k r e t
ក្រិន	k r e n
ក្រិប	k r e p
ក្រិយា	k r e j aː
ក្រិស	k r e h
ក្រិះ	k r e h
ក្រីក្រោធ	k r ɜi k r aɔ t
ក្រីក្រ	k r ɜi k r ɑː
ក្រីត	k r ɜi t
ក្រី	k r ɜi
ក្រឹក	k r ɜ k
ក្រឹង	k r ɜ ŋ
ក្រឹត	k r ɜ t
ក្រឹបក្រៀប	k r ɜ p k r iɜ p
ក្រឹប	k r ɜ p
ក្រឹម	k r ɜ m
ក្រឹស្ណ	k r ɜ h
ក្រឹស	k r ɜ h
ក្រឺត	k r ɜɘ t
ក្រុងពលី	k r o ŋ p ɛă ʔ l iː
ក្រុងពាលី	k r o ŋ p iɜ l iː
ក្រុងមារ	k r o ŋ m iɜ
ក្រុង	k r o ŋ
ក្រុប	k r o p
ក្រុមកាំភ្លើងធំ	k r o m k a m pʰ l ɘː ŋ tʰ ʋ m
ក្រុមបងធំ	k r o m b ɑː ŋ tʰ ʋ m
ក្រុមបញ្ញាជនស្នេហាជាតិ	k r o m p a ɲ ɲ aː c ʋ n s n aɛ h aː c iɜ t
ក្រុមពាណិជ្ជករ	k r o m p iɜ n i c c ɛă ʔ k ɑː
ក្រុមព្រះ	k r o m p r ɛă h
ក្រុមម៉ឺនហ្លួង	k r o m m ɜɘ n h l uɜ ŋ
ក្រុមរាជការសាធារណៈ	k r o m r iɜ c k aː s aː tʰ iɜ r ɛă ʔ n a ʔ
ក្រុមហ៊ុនដែល	k r o m h ʋ n d aɛ l
ក្រុមហ៊ុនត្រូវ	k r o m h ʋ n t r oʊ β̞
ក្រុមហ៊ុនមាន	k r o m h ʋ n m iɜ n
ក្រុមហ៊ុនរបស់	k r o m h ʋ n r ɔː b ɑ h
ក្រុមហ៊ុន	k r o m h ʋ n
ក្រុមហ្លួង	k r o m h l uɜ ŋ
ក្រុម	k r o m
ក្រុស	k r o h
ក្រូចឆ្មារ	k r oʊ c cʰ m aː
ក្រូចឆ្មា	k r oʊ c cʰ m aː
ក្រូច	k r oʊ c
ក្រូប	k r oʊ p
ក្រូម៉ូម៊ែរ	k r oʊ m oʊ m ɛː
ក្រូម៉ូសូមអូម៉ូឡូក	k r oʊ m oʊ s oʊ m ʔ oʊ m oʊ l oʊ k
ក្រូម៉ូសូម	k r oʊ m oʊ s oʊ m
ក្រូវើ	k r oʊ β̞ ɘː
ក្រូស	k r oʊ h
ក្រួច	k r uɜ c
ក្រួន	k r uɜ n
ក្រួប	k r uɜ p
ក្រួសក្រហម	k r uɜ h k r ɑː h ɑː m
ក្រួស	k r uɜ h
ក្រើក	k r aɜ k
ក្រើនរំឭក	k r aɜ n r ʋ m l ɘ k
ក្រើន	k r aɜ n
ក្រៀង	k r iɜ ŋ
ក្រៀប	k r iɜ p
ក្រៀមក្រោះ	k r iɜ m k r ɑ h
ក្រៀមក្រំចិត្ត	k r iɜ m k r ɑ m c e t
ក្រៀមក្រំ	k r iɜ m k r ɑ m
ក្រៀម	k r iɜ m
ក្រៀល	k r iɜ l
ក្រៀវ	k r iɜ β̞
ក្រេជែន	k r ɛe c ɛː n
ក្រេដីត	k r ɛe d ɜi t
ក្រេឌីត	k r ɛe d iː t
ក្រេន	k r ɛe n
ក្រេប	k r ɛe p
ក្រេម	k r ɛe m
ក្រេវក្រោធ	k r ɛe β̞ k r aɔ t
ក្រេវ	k r ɛe β̞
ក្រេស	k r ɛe h
ក្រេះ	k r ɛe h
ក្រេ	k r ɛe
ក្រែប	k r aɛ p
ក្រែម	k r aɛ m
ក្រែល	k r aɛ l
ក្រែះ	k r aɛ h
ក្រៃកន្លង	k r ai k ɑ n l ɑː ŋ
ក្រៃសរ	k r ai s ɑː
ក្រៃ	k r ai
ក្រោកឈរ	k r aɔ k cʰ ɔː
ក្រោក	k r aɔ k
ក្រោធ	k r aɔ t
ក្រោន	k r aɔ n
ក្រោមការឡោមព័ទ្ធ	k r aɔ m k aː l aɔ m p oă t
ក្រោមបង្គាប់	k r aɔ m b ɑ ŋ k oă p
ក្រោមរូបភាព	k r aɔ m r uː p pʰ iɜ p
ក្រោម	k r aɔ m
ក្រោយនេះ	k r aɔ j n i h
ក្រោយពីរ	k r aɔ j p iː
ក្រោយពី	k r aɔ j p iː
ក្រោយពេល	k r aɔ j p eː l
ក្រោយ	k r aɔ j
ក្រោល	k r aɔ l
ក្រោស	k r aɔ h
ក្រោះរមាស	k r ɑ h r ɔː m iɜ h
ក្រោះ	k r ɑ h
ក្រោ	k r aɔ
ក្រៅកាល	k r aɨ k aː l
ក្រៅតែអំពី	k r aɨ t aɛ ʔ ɑ m p iː
ក្រៅតែ	k r aɨ t aɛ
ក្រៅពីនោះ	k r aɨ p iː n ʋ h
ក្រៅពី	k r aɨ p iː
ក្រៅអំពី	k r aɨ ʔ ɑ m p iː
ក្រៅ	k r aɨ
ក្រំ	k r ɑ m
ក្រ	k r ɑː
ក្អម	kʰ ʔ ɑː m
ក្អល	kʰ ʔ ɑː l
ក្អាកក្អាយ	kʰ ʔ aː k kʰ ʔ aː j
ក្អាក	kʰ ʔ aː k
ក្អាង	kʰ ʔ aː ŋ
ក្អាត់	kʰ ʔ a t
ក្អាត	kʰ ʔ aː t
ក្អិត	kʰ ʔ e t
ក្អិល	kʰ ʔ e l
ក្អី	kʰ ʔ ɜi
ក្អឹក	kʰ ʔ ɜ k
ក្អូតចង្អោរ	kʰ ʔ oʊ t c ɑ ŋ ʔ aɔ
ក្អួតចង្អោរ	kʰ ʔ uɜ t c ɑ ŋ ʔ aɔ
ក្អួត	kʰ ʔ uɜ t
ក្អឿយ	kʰ ʔ ɨɜ j
ក្អេលក្អល	kʰ ʔ ɛe l kʰ ʔ ɑː l
ក្អេល	kʰ ʔ ɛe l
ក្អែប	kʰ ʔ aɛ p
